"","x"
"(Intercept)",9.59283766895517
"FinFSLdat_AnnEsts",10.671452455146
"FinFSLdat_SpringDat",-1.74487273000803
"FinFSLdat_SummerDat",3.49700055828279
"FSL_months_Apr",2.36520322724304
"FSL_months_Jan",-1.27540037528573
"FSL_months_May",-0.447440389986348
"FSL_months_Oct",-3.70306688868734
"FSLdat_Autumn",-4.20725657066472
"s(Ages).1",9.2872073174602
"s(Ages).2",-13.1346989197449
"s(Ages).3",-7.81221993716977
"s(Ages).4",8.20344156433764
"s(Ages).5",6.36821954654127
"s(Ages).6",-7.54738028666156
"s(Ages).7",5.34671323220751
"s(Ages).8",-20.4196860101003
"s(Ages).9",-9.14744987268115
"FinSouthSST_AnnEsts",0.186698451972364
"SST_South_Months_Jun",0.0814260281634715
