"","Year","WestSST_Annual","WestSST_Winter","WestSST_Spring","SST_West_Months_Jun","SST_West_Months_Jul","SST_West_Months_Sep","SST_West_Months_Oct","LagWestSST_Spring","LagSST_West_Months_Oct","LagSST_West_Months_Nov","LagSST_West_Months_Dec","FinWestSST_AnnEsts","FinWestSST_SummerDat","FinWestSST_SpringDat","LagFinWestSST_AnnEsts","LagFinWestSST_SpringDat","FSLdat_Spring","FSL_months_Apr","FinFSLdat_AnnEsts","FishName","OtoWidth","Ages","Site","FSLann","FSLsumm","FSLaut","FSLwin","FSLspr","TannS","TsummS","TautS","TwinS","TsprS","TannW","TsummW","TautW","TwinW","TsprW"
"1",1954,19.4483333333333,18.28,18.35,18.71,18.51,17.92,18.3,18.35,17.84,18.58,19.72,19.6158333333333,20.6233333333333,18.1133333333333,19.6158333333333,18.1133333333333,0.631,0.709,0.733583333333333,"X060254",12.957,8,"West",0.684833333333333,0.627666666666667,0.728333333333333,0.752333333333333,0.631,18.2433333333333,19.6066666666667,19.3866666666667,16.8233333333333,17.1566666666667,19.4483333333333,20.6366666666667,20.5266666666667,18.28,18.35
"2",1954,19.4483333333333,18.28,18.35,18.71,18.51,17.92,18.3,18.35,17.84,18.58,19.72,19.6158333333333,20.6233333333333,18.1133333333333,19.6158333333333,18.1133333333333,0.631,0.709,0.733583333333333,"X060180",26.59033333,2,"West",0.684833333333333,0.627666666666667,0.728333333333333,0.752333333333333,0.631,18.2433333333333,19.6066666666667,19.3866666666667,16.8233333333333,17.1566666666667,19.4483333333333,20.6366666666667,20.5266666666667,18.28,18.35
"3",1954,19.4483333333333,18.28,18.35,18.71,18.51,17.92,18.3,18.35,17.84,18.58,19.72,19.6158333333333,20.6233333333333,18.1133333333333,19.6158333333333,18.1133333333333,0.631,0.709,0.733583333333333,"X060251",28.468,4,"West",0.684833333333333,0.627666666666667,0.728333333333333,0.752333333333333,0.631,18.2433333333333,19.6066666666667,19.3866666666667,16.8233333333333,17.1566666666667,19.4483333333333,20.6366666666667,20.5266666666667,18.28,18.35
"4",1954,19.4483333333333,18.28,18.35,18.71,18.51,17.92,18.3,18.35,17.84,18.58,19.72,19.6158333333333,20.6233333333333,18.1133333333333,19.6158333333333,18.1133333333333,0.631,0.709,0.733583333333333,"X060089",21.961,15,"West",0.684833333333333,0.627666666666667,0.728333333333333,0.752333333333333,0.631,18.2433333333333,19.6066666666667,19.3866666666667,16.8233333333333,17.1566666666667,19.4483333333333,20.6366666666667,20.5266666666667,18.28,18.35
"5",1954,19.4483333333333,18.28,18.35,18.71,18.51,17.92,18.3,18.35,17.84,18.58,19.72,19.6158333333333,20.6233333333333,18.1133333333333,19.6158333333333,18.1133333333333,0.631,0.709,0.733583333333333,"X060267",23.70866667,5,"West",0.684833333333333,0.627666666666667,0.728333333333333,0.752333333333333,0.631,18.2433333333333,19.6066666666667,19.3866666666667,16.8233333333333,17.1566666666667,19.4483333333333,20.6366666666667,20.5266666666667,18.28,18.35
"6",1954,19.4483333333333,18.28,18.35,18.71,18.51,17.92,18.3,18.35,17.84,18.58,19.72,19.6158333333333,20.6233333333333,18.1133333333333,19.6158333333333,18.1133333333333,0.631,0.709,0.733583333333333,"X060149",15.27166667,17,"West",0.684833333333333,0.627666666666667,0.728333333333333,0.752333333333333,0.631,18.2433333333333,19.6066666666667,19.3866666666667,16.8233333333333,17.1566666666667,19.4483333333333,20.6366666666667,20.5266666666667,18.28,18.35
"7",1955,19.6125,18.5533333333333,18.1133333333333,18.95,18.86,17.92,17.84,18.1133333333333,17.7,18.49,19.53,19.5833333333333,20.6033333333333,17.8666666666667,19.5833333333333,17.8666666666667,0.751666666666667,0.849,0.789416666666667,"X060089",22.76566667,16,"West",0.797166666666667,0.746,0.823,0.868,0.751666666666667,18.4075,19.62,19.75,17.39,16.87,19.6125,20.6333333333333,21.15,18.5533333333333,18.1133333333333
"8",1955,19.6125,18.5533333333333,18.1133333333333,18.95,18.86,17.92,17.84,18.1133333333333,17.7,18.49,19.53,19.5833333333333,20.6033333333333,17.8666666666667,19.5833333333333,17.8666666666667,0.751666666666667,0.849,0.789416666666667,"X060267",16.09166667,6,"West",0.797166666666667,0.746,0.823,0.868,0.751666666666667,18.4075,19.62,19.75,17.39,16.87,19.6125,20.6333333333333,21.15,18.5533333333333,18.1133333333333
"9",1955,19.6125,18.5533333333333,18.1133333333333,18.95,18.86,17.92,17.84,18.1133333333333,17.7,18.49,19.53,19.5833333333333,20.6033333333333,17.8666666666667,19.5833333333333,17.8666666666667,0.751666666666667,0.849,0.789416666666667,"X060264",56.581,1,"West",0.797166666666667,0.746,0.823,0.868,0.751666666666667,18.4075,19.62,19.75,17.39,16.87,19.6125,20.6333333333333,21.15,18.5533333333333,18.1133333333333
"10",1955,19.6125,18.5533333333333,18.1133333333333,18.95,18.86,17.92,17.84,18.1133333333333,17.7,18.49,19.53,19.5833333333333,20.6033333333333,17.8666666666667,19.5833333333333,17.8666666666667,0.751666666666667,0.849,0.789416666666667,"X060254",15.06366667,9,"West",0.797166666666667,0.746,0.823,0.868,0.751666666666667,18.4075,19.62,19.75,17.39,16.87,19.6125,20.6333333333333,21.15,18.5533333333333,18.1133333333333
